location,Population,HIghestInfectionCount,PercentOfPopulationInfected
Mozambique,32969520,233676,0.71
Pakistan,235824864,1580631,0.67
Kenya,54027484,344092,0.64
Algeria,44903228,271997,0.61
Afghanistan,41128772,229263,0.56
Ghana,33475870,171768,0.51
Senegal,17316452,89025,0.51
Uzbekistan,34627648,174575,0.5
Gambia,2705995,12626,0.47
Egypt,110990096,516023,0.46
Guinea-Bissau,2105580,9614,0.46
Papua New Guinea,10142625,46864,0.46
Togo,8848700,39526,0.45
Cameroon,27914542,125116,0.45
Malawi,20405318,89089,0.44
Congo,5970430,25206,0.42
Burundi,12889583,54368,0.42
Ethiopia,123379928,501087,0.41
Uganda,47249588,171876,0.36
Low income,737604900,2322821,0.31
Cote d'Ivoire,28160548,88354,0.31
Haiti,11585003,34493,0.3
Angola,35588996,106002,0.3
Eritrea,3684041,10189,0.28
Central African Republic,5579148,15367,0.28
Guinea,13859349,38569,0.28
Syria,22125242,57423,0.26
Nicaragua,6948395,16077,0.23
Madagascar,29611718,68386,0.23
Benin,13352864,28036,0.21
Tajikistan,9952789,17786,0.18
South Sudan,10913172,18595,0.17
Somalia,17597508,27334,0.16
Mali,22593598,33161,0.15
Liberia,5302690,8090,0.15
Sudan,46874200,63993,0.14
Nigeria,218541216,267163,0.12
Burkina Faso,22673764,22093,0.1
Democratic Republic of Congo,99010216,99226,0.1
Sierra Leone,8605723,7766,0.09
Tanzania,65497752,43087,0.07
Chad,17723312,7698,0.04
Niger,26207982,9515,0.04
Yemen,33696612,11945,0.04
Hong Kong,7488863,,
Macao,695180,,
England,56550000,,
Turkmenistan,6430777,,
Taiwan,23893396,,
Scotland,5466000,,
Northern Ireland,1896000,,
Northern Cyprus,382836,,
Western Sahara,576005,,
North Korea,26069416,,
Wales,3170000,,
